input,chain_of_thought,output
If I have 12 apples and get 7 more...,12 apples + 7 apples = total...,19 apples
"Find the next number in the sequence: [6, 4, 3, 4]","The pattern increases by -2, so the next number is...",33
A car moves at 86 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 86 × 5 =,430 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 718 + 874?,Adding 718 to 874 gives...,1592
What is 718 - 874?,Subtracting 874 from 718 leaves...,-156
What is 718 × 874?,Multiplying 718 by 874 results in...,627532
What is 718 ÷ 874?,Dividing 718 by 874 gives...,0.82
If I have 1 apples and get 3 more...,1 apples + 3 apples = total...,4 apples
"Find the next number in the sequence: [3, 16, 15, 32]","The pattern increases by 13, so the next number is...",63
A car moves at 93 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 93 × 3 =,279 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 658 + 243?,Adding 658 to 243 gives...,901
What is 658 - 243?,Subtracting 243 from 658 leaves...,415
What is 658 × 243?,Multiplying 658 by 243 results in...,159894
What is 658 ÷ 243?,Dividing 658 by 243 gives...,2.71
If I have 1 apples and get 7 more...,1 apples + 7 apples = total...,8 apples
"Find the next number in the sequence: [7, 4, 15, 40]","The pattern increases by -3, so the next number is...",32
A car moves at 73 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 73 × 1 =,73 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 607 + 846?,Adding 607 to 846 gives...,1453
What is 607 - 846?,Subtracting 846 from 607 leaves...,-239
What is 607 × 846?,Multiplying 607 by 846 results in...,513522
What is 607 ÷ 846?,Dividing 607 by 846 gives...,0.72
If I have 16 apples and get 8 more...,16 apples + 8 apples = total...,24 apples
"Find the next number in the sequence: [8, 10, 3, 28]","The pattern increases by 2, so the next number is...",17
A car moves at 119 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 119 × 5 =,595 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 308 + 685?,Adding 308 to 685 gives...,993
What is 308 - 685?,Subtracting 685 from 308 leaves...,-377
What is 308 × 685?,Multiplying 308 by 685 results in...,210980
What is 308 ÷ 685?,Dividing 308 by 685 gives...,0.45
If I have 4 apples and get 5 more...,4 apples + 5 apples = total...,9 apples
"Find the next number in the sequence: [10, 10, 21, 28]","The pattern increases by 0, so the next number is...",30
A car moves at 40 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 40 × 5 =,200 km
What is the capital of France?,The capital city of France is...,Paris
What is 29 + 1?,Adding 29 to 1 gives...,30
What is 29 - 1?,Subtracting 1 from 29 leaves...,28
What is 29 × 1?,Multiplying 29 by 1 results in...,29
What is 29 ÷ 1?,Dividing 29 by 1 gives...,29.0
If I have 10 apples and get 6 more...,10 apples + 6 apples = total...,16 apples
"Find the next number in the sequence: [6, 20, 21, 4]","The pattern increases by 14, so the next number is...",54
A car moves at 41 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 41 × 1 =,41 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 583 + 404?,Adding 583 to 404 gives...,987
What is 583 - 404?,Subtracting 404 from 583 leaves...,179
What is 583 × 404?,Multiplying 583 by 404 results in...,235532
What is 583 ÷ 404?,Dividing 583 by 404 gives...,1.44
If I have 3 apples and get 10 more...,3 apples + 10 apples = total...,13 apples
"Find the next number in the sequence: [3, 4, 12, 40]","The pattern increases by 1, so the next number is...",11
A car moves at 109 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 109 × 1 =,109 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 223 + 219?,Adding 223 to 219 gives...,442
What is 223 - 219?,Subtracting 219 from 223 leaves...,4
What is 223 × 219?,Multiplying 223 by 219 results in...,48837
What is 223 ÷ 219?,Dividing 223 by 219 gives...,1.02
If I have 2 apples and get 7 more...,2 apples + 7 apples = total...,9 apples
"Find the next number in the sequence: [4, 12, 6, 8]","The pattern increases by 8, so the next number is...",13
A car moves at 62 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 62 × 2 =,124 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 710 + 469?,Adding 710 to 469 gives...,1179
What is 710 - 469?,Subtracting 469 from 710 leaves...,241
What is 710 × 469?,Multiplying 710 by 469 results in...,332990
What is 710 ÷ 469?,Dividing 710 by 469 gives...,1.51
If I have 11 apples and get 5 more...,11 apples + 5 apples = total...,16 apples
"Find the next number in the sequence: [5, 20, 12, 24]","The pattern increases by 15, so the next number is...",50
A car moves at 35 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 35 × 5 =,175 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 595 + 576?,Adding 595 to 576 gives...,1171
What is 595 - 576?,Subtracting 576 from 595 leaves...,19
What is 595 × 576?,Multiplying 595 by 576 results in...,342720
What is 595 ÷ 576?,Dividing 595 by 576 gives...,1.03
If I have 5 apples and get 1 more...,5 apples + 1 apples = total...,6 apples
"Find the next number in the sequence: [1, 14, 21, 4]","The pattern increases by 13, so the next number is...",28
A car moves at 38 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 38 × 5 =,190 km
What is the capital of France?,The capital city of France is...,Paris
What is 536 + 23?,Adding 536 to 23 gives...,559
What is 536 - 23?,Subtracting 23 from 536 leaves...,513
What is 536 × 23?,Multiplying 536 by 23 results in...,12328
What is 536 ÷ 23?,Dividing 536 by 23 gives...,23.3
If I have 4 apples and get 8 more...,4 apples + 8 apples = total...,12 apples
"Find the next number in the sequence: [3, 2, 15, 12]","The pattern increases by -1, so the next number is...",24
A car moves at 65 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 65 × 4 =,260 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 354 + 291?,Adding 354 to 291 gives...,645
What is 354 - 291?,Subtracting 291 from 354 leaves...,63
What is 354 × 291?,Multiplying 354 by 291 results in...,103014
What is 354 ÷ 291?,Dividing 354 by 291 gives...,1.22
If I have 18 apples and get 4 more...,18 apples + 4 apples = total...,22 apples
"Find the next number in the sequence: [2, 2, 27, 12]","The pattern increases by 0, so the next number is...",50
A car moves at 68 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 68 × 4 =,272 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 199 + 62?,Adding 199 to 62 gives...,261
What is 199 - 62?,Subtracting 62 from 199 leaves...,137
What is 199 × 62?,Multiplying 199 by 62 results in...,12338
What is 199 ÷ 62?,Dividing 199 by 62 gives...,3.21
If I have 14 apples and get 9 more...,14 apples + 9 apples = total...,23 apples
"Find the next number in the sequence: [3, 18, 27, 12]","The pattern increases by 15, so the next number is...",20
A car moves at 90 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 90 × 2 =,180 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 620 + 554?,Adding 620 to 554 gives...,1174
What is 620 - 554?,Subtracting 554 from 620 leaves...,66
What is 620 × 554?,Multiplying 620 by 554 results in...,343480
What is 620 ÷ 554?,Dividing 620 by 554 gives...,1.12
If I have 4 apples and get 1 more...,4 apples + 1 apples = total...,5 apples
"Find the next number in the sequence: [2, 6, 27, 4]","The pattern increases by 4, so the next number is...",9
A car moves at 73 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 73 × 2 =,146 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 574 + 906?,Adding 574 to 906 gives...,1480
What is 574 - 906?,Subtracting 906 from 574 leaves...,-332
What is 574 × 906?,Multiplying 574 by 906 results in...,520044
What is 574 ÷ 906?,Dividing 574 by 906 gives...,0.63
If I have 15 apples and get 2 more...,15 apples + 2 apples = total...,17 apples
"Find the next number in the sequence: [3, 12, 6, 40]","The pattern increases by 9, so the next number is...",59
A car moves at 119 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 119 × 5 =,595 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 995 + 499?,Adding 995 to 499 gives...,1494
What is 995 - 499?,Subtracting 499 from 995 leaves...,496
What is 995 × 499?,Multiplying 995 by 499 results in...,496505
What is 995 ÷ 499?,Dividing 995 by 499 gives...,1.99
If I have 5 apples and get 7 more...,5 apples + 7 apples = total...,12 apples
"Find the next number in the sequence: [7, 4, 3, 28]","The pattern increases by -3, so the next number is...",12
A car moves at 43 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 43 × 5 =,215 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 909 + 764?,Adding 909 to 764 gives...,1673
What is 909 - 764?,Subtracting 764 from 909 leaves...,145
What is 909 × 764?,Multiplying 909 by 764 results in...,694476
What is 909 ÷ 764?,Dividing 909 by 764 gives...,1.19
If I have 12 apples and get 1 more...,12 apples + 1 apples = total...,13 apples
"Find the next number in the sequence: [1, 6, 15, 24]","The pattern increases by 5, so the next number is...",25
A car moves at 62 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 62 × 2 =,124 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 515 + 113?,Adding 515 to 113 gives...,628
What is 515 - 113?,Subtracting 113 from 515 leaves...,402
What is 515 × 113?,Multiplying 515 by 113 results in...,58195
What is 515 ÷ 113?,Dividing 515 by 113 gives...,4.56
If I have 17 apples and get 3 more...,17 apples + 3 apples = total...,20 apples
"Find the next number in the sequence: [6, 8, 9, 36]","The pattern increases by 2, so the next number is...",47
A car moves at 54 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 54 × 4 =,216 km
What is the capital of France?,The capital city of France is...,Paris
What is 155 + 751?,Adding 155 to 751 gives...,906
What is 155 - 751?,Subtracting 751 from 155 leaves...,-596
What is 155 × 751?,Multiplying 155 by 751 results in...,116405
What is 155 ÷ 751?,Dividing 155 by 751 gives...,0.21
If I have 1 apples and get 9 more...,1 apples + 9 apples = total...,10 apples
"Find the next number in the sequence: [4, 20, 6, 36]","The pattern increases by 16, so the next number is...",51
A car moves at 46 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 46 × 5 =,230 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 896 + 168?,Adding 896 to 168 gives...,1064
What is 896 - 168?,Subtracting 168 from 896 leaves...,728
What is 896 × 168?,Multiplying 896 by 168 results in...,150528
What is 896 ÷ 168?,Dividing 896 by 168 gives...,5.33
If I have 18 apples and get 4 more...,18 apples + 4 apples = total...,22 apples
"Find the next number in the sequence: [5, 6, 3, 32]","The pattern increases by 1, so the next number is...",31
A car moves at 99 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 99 × 1 =,99 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 304 + 306?,Adding 304 to 306 gives...,610
What is 304 - 306?,Subtracting 306 from 304 leaves...,-2
What is 304 × 306?,Multiplying 304 by 306 results in...,93024
What is 304 ÷ 306?,Dividing 304 by 306 gives...,0.99
If I have 20 apples and get 3 more...,20 apples + 3 apples = total...,23 apples
"Find the next number in the sequence: [7, 16, 21, 12]","The pattern increases by 9, so the next number is...",49
A car moves at 50 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 50 × 3 =,150 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 902 + 590?,Adding 902 to 590 gives...,1492
What is 902 - 590?,Subtracting 590 from 902 leaves...,312
What is 902 × 590?,Multiplying 902 by 590 results in...,532180
What is 902 ÷ 590?,Dividing 902 by 590 gives...,1.53
If I have 13 apples and get 9 more...,13 apples + 9 apples = total...,22 apples
"Find the next number in the sequence: [2, 18, 21, 32]","The pattern increases by 16, so the next number is...",36
A car moves at 97 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 97 × 4 =,388 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 344 + 432?,Adding 344 to 432 gives...,776
What is 344 - 432?,Subtracting 432 from 344 leaves...,-88
What is 344 × 432?,Multiplying 344 by 432 results in...,148608
What is 344 ÷ 432?,Dividing 344 by 432 gives...,0.8
If I have 2 apples and get 1 more...,2 apples + 1 apples = total...,3 apples
"Find the next number in the sequence: [8, 8, 15, 4]","The pattern increases by 0, so the next number is...",40
A car moves at 84 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 84 × 5 =,420 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 60 + 472?,Adding 60 to 472 gives...,532
What is 60 - 472?,Subtracting 472 from 60 leaves...,-412
What is 60 × 472?,Multiplying 60 by 472 results in...,28320
What is 60 ÷ 472?,Dividing 60 by 472 gives...,0.13
If I have 13 apples and get 10 more...,13 apples + 10 apples = total...,23 apples
"Find the next number in the sequence: [1, 20, 21, 20]","The pattern increases by 19, so the next number is...",34
A car moves at 113 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 113 × 3 =,339 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 750 + 736?,Adding 750 to 736 gives...,1486
What is 750 - 736?,Subtracting 736 from 750 leaves...,14
What is 750 × 736?,Multiplying 750 by 736 results in...,552000
What is 750 ÷ 736?,Dividing 750 by 736 gives...,1.02
If I have 18 apples and get 1 more...,18 apples + 1 apples = total...,19 apples
"Find the next number in the sequence: [3, 10, 15, 12]","The pattern increases by 7, so the next number is...",42
A car moves at 90 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 90 × 5 =,450 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 670 + 139?,Adding 670 to 139 gives...,809
What is 670 - 139?,Subtracting 139 from 670 leaves...,531
What is 670 × 139?,Multiplying 670 by 139 results in...,93130
What is 670 ÷ 139?,Dividing 670 by 139 gives...,4.82
If I have 9 apples and get 7 more...,9 apples + 7 apples = total...,16 apples
"Find the next number in the sequence: [3, 18, 3, 40]","The pattern increases by 15, so the next number is...",30
A car moves at 113 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 113 × 2 =,226 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 79 + 136?,Adding 79 to 136 gives...,215
What is 79 - 136?,Subtracting 136 from 79 leaves...,-57
What is 79 × 136?,Multiplying 79 by 136 results in...,10744
What is 79 ÷ 136?,Dividing 79 by 136 gives...,0.58
If I have 18 apples and get 7 more...,18 apples + 7 apples = total...,25 apples
"Find the next number in the sequence: [1, 10, 15, 28]","The pattern increases by 9, so the next number is...",59
A car moves at 107 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 107 × 2 =,214 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 861 + 5?,Adding 861 to 5 gives...,866
What is 861 - 5?,Subtracting 5 from 861 leaves...,856
What is 861 × 5?,Multiplying 861 by 5 results in...,4305
What is 861 ÷ 5?,Dividing 861 by 5 gives...,172.2
If I have 6 apples and get 5 more...,6 apples + 5 apples = total...,11 apples
"Find the next number in the sequence: [10, 8, 27, 4]","The pattern increases by -2, so the next number is...",13
A car moves at 38 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 38 × 2 =,76 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 536 + 5?,Adding 536 to 5 gives...,541
What is 536 - 5?,Subtracting 5 from 536 leaves...,531
What is 536 × 5?,Multiplying 536 by 5 results in...,2680
What is 536 ÷ 5?,Dividing 536 by 5 gives...,107.2
If I have 5 apples and get 3 more...,5 apples + 3 apples = total...,8 apples
"Find the next number in the sequence: [9, 6, 24, 8]","The pattern increases by -3, so the next number is...",47
A car moves at 94 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 94 × 1 =,94 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 572 + 523?,Adding 572 to 523 gives...,1095
What is 572 - 523?,Subtracting 523 from 572 leaves...,49
What is 572 × 523?,Multiplying 572 by 523 results in...,299156
What is 572 ÷ 523?,Dividing 572 by 523 gives...,1.09
If I have 6 apples and get 7 more...,6 apples + 7 apples = total...,13 apples
"Find the next number in the sequence: [4, 12, 9, 20]","The pattern increases by 8, so the next number is...",13
A car moves at 63 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 63 × 2 =,126 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 674 + 312?,Adding 674 to 312 gives...,986
What is 674 - 312?,Subtracting 312 from 674 leaves...,362
What is 674 × 312?,Multiplying 674 by 312 results in...,210288
What is 674 ÷ 312?,Dividing 674 by 312 gives...,2.16
If I have 14 apples and get 6 more...,14 apples + 6 apples = total...,20 apples
"Find the next number in the sequence: [10, 10, 6, 8]","The pattern increases by 0, so the next number is...",5
A car moves at 117 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 117 × 4 =,468 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 255 + 968?,Adding 255 to 968 gives...,1223
What is 255 - 968?,Subtracting 968 from 255 leaves...,-713
What is 255 × 968?,Multiplying 255 by 968 results in...,246840
What is 255 ÷ 968?,Dividing 255 by 968 gives...,0.26
If I have 14 apples and get 2 more...,14 apples + 2 apples = total...,16 apples
"Find the next number in the sequence: [10, 18, 12, 8]","The pattern increases by 8, so the next number is...",53
A car moves at 55 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 55 × 4 =,220 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 345 + 519?,Adding 345 to 519 gives...,864
What is 345 - 519?,Subtracting 519 from 345 leaves...,-174
What is 345 × 519?,Multiplying 345 by 519 results in...,179055
What is 345 ÷ 519?,Dividing 345 by 519 gives...,0.66
If I have 9 apples and get 1 more...,9 apples + 1 apples = total...,10 apples
"Find the next number in the sequence: [9, 20, 6, 40]","The pattern increases by 11, so the next number is...",41
A car moves at 73 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 73 × 2 =,146 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 887 + 200?,Adding 887 to 200 gives...,1087
What is 887 - 200?,Subtracting 200 from 887 leaves...,687
What is 887 × 200?,Multiplying 887 by 200 results in...,177400
What is 887 ÷ 200?,Dividing 887 by 200 gives...,4.43
If I have 14 apples and get 6 more...,14 apples + 6 apples = total...,20 apples
"Find the next number in the sequence: [2, 18, 21, 16]","The pattern increases by 16, so the next number is...",46
A car moves at 82 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 82 × 1 =,82 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 956 + 988?,Adding 956 to 988 gives...,1944
What is 956 - 988?,Subtracting 988 from 956 leaves...,-32
What is 956 × 988?,Multiplying 956 by 988 results in...,944528
What is 956 ÷ 988?,Dividing 956 by 988 gives...,0.97
If I have 13 apples and get 7 more...,13 apples + 7 apples = total...,20 apples
"Find the next number in the sequence: [6, 16, 18, 8]","The pattern increases by 10, so the next number is...",45
A car moves at 66 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 66 × 1 =,66 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 234 + 318?,Adding 234 to 318 gives...,552
What is 234 - 318?,Subtracting 318 from 234 leaves...,-84
What is 234 × 318?,Multiplying 234 by 318 results in...,74412
What is 234 ÷ 318?,Dividing 234 by 318 gives...,0.74
If I have 12 apples and get 9 more...,12 apples + 9 apples = total...,21 apples
"Find the next number in the sequence: [3, 20, 3, 12]","The pattern increases by 17, so the next number is...",27
A car moves at 105 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 105 × 1 =,105 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 847 + 847?,Adding 847 to 847 gives...,1694
What is 847 - 847?,Subtracting 847 from 847 leaves...,0
What is 847 × 847?,Multiplying 847 by 847 results in...,717409
What is 847 ÷ 847?,Dividing 847 by 847 gives...,1.0
If I have 13 apples and get 5 more...,13 apples + 5 apples = total...,18 apples
"Find the next number in the sequence: [5, 8, 15, 36]","The pattern increases by 3, so the next number is...",8
A car moves at 114 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 114 × 5 =,570 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 345 + 797?,Adding 345 to 797 gives...,1142
What is 345 - 797?,Subtracting 797 from 345 leaves...,-452
What is 345 × 797?,Multiplying 345 by 797 results in...,274965
What is 345 ÷ 797?,Dividing 345 by 797 gives...,0.43
If I have 12 apples and get 3 more...,12 apples + 3 apples = total...,15 apples
"Find the next number in the sequence: [2, 16, 15, 36]","The pattern increases by 14, so the next number is...",49
A car moves at 52 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 52 × 5 =,260 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 802 + 839?,Adding 802 to 839 gives...,1641
What is 802 - 839?,Subtracting 839 from 802 leaves...,-37
What is 802 × 839?,Multiplying 802 by 839 results in...,672878
What is 802 ÷ 839?,Dividing 802 by 839 gives...,0.96
If I have 14 apples and get 4 more...,14 apples + 4 apples = total...,18 apples
"Find the next number in the sequence: [2, 18, 18, 36]","The pattern increases by 16, so the next number is...",21
A car moves at 56 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 56 × 5 =,280 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 257 + 595?,Adding 257 to 595 gives...,852
What is 257 - 595?,Subtracting 595 from 257 leaves...,-338
What is 257 × 595?,Multiplying 257 by 595 results in...,152915
What is 257 ÷ 595?,Dividing 257 by 595 gives...,0.43
If I have 13 apples and get 8 more...,13 apples + 8 apples = total...,21 apples
"Find the next number in the sequence: [6, 20, 3, 8]","The pattern increases by 14, so the next number is...",54
A car moves at 115 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 115 × 2 =,230 km
What is the capital of India?,The capital city of India is...,New Delhi
What is 210 + 69?,Adding 210 to 69 gives...,279
What is 210 - 69?,Subtracting 69 from 210 leaves...,141
What is 210 × 69?,Multiplying 210 by 69 results in...,14490
What is 210 ÷ 69?,Dividing 210 by 69 gives...,3.04
If I have 3 apples and get 1 more...,3 apples + 1 apples = total...,4 apples
"Find the next number in the sequence: [4, 12, 6, 36]","The pattern increases by 8, so the next number is...",58
A car moves at 67 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 67 × 5 =,335 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 509 + 444?,Adding 509 to 444 gives...,953
What is 509 - 444?,Subtracting 444 from 509 leaves...,65
What is 509 × 444?,Multiplying 509 by 444 results in...,225996
What is 509 ÷ 444?,Dividing 509 by 444 gives...,1.15
If I have 14 apples and get 1 more...,14 apples + 1 apples = total...,15 apples
"Find the next number in the sequence: [7, 14, 21, 8]","The pattern increases by 7, so the next number is...",27
A car moves at 97 km/h for 5 hours. How far does it go?,Distance = Speed × Time → 97 × 5 =,485 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 813 + 629?,Adding 813 to 629 gives...,1442
What is 813 - 629?,Subtracting 629 from 813 leaves...,184
What is 813 × 629?,Multiplying 813 by 629 results in...,511377
What is 813 ÷ 629?,Dividing 813 by 629 gives...,1.29
If I have 13 apples and get 2 more...,13 apples + 2 apples = total...,15 apples
"Find the next number in the sequence: [4, 14, 30, 8]","The pattern increases by 10, so the next number is...",25
A car moves at 80 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 80 × 1 =,80 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 619 + 759?,Adding 619 to 759 gives...,1378
What is 619 - 759?,Subtracting 759 from 619 leaves...,-140
What is 619 × 759?,Multiplying 619 by 759 results in...,469821
What is 619 ÷ 759?,Dividing 619 by 759 gives...,0.82
If I have 2 apples and get 4 more...,2 apples + 4 apples = total...,6 apples
"Find the next number in the sequence: [8, 16, 9, 20]","The pattern increases by 8, so the next number is...",28
A car moves at 92 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 92 × 2 =,184 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 401 + 14?,Adding 401 to 14 gives...,415
What is 401 - 14?,Subtracting 14 from 401 leaves...,387
What is 401 × 14?,Multiplying 401 by 14 results in...,5614
What is 401 ÷ 14?,Dividing 401 by 14 gives...,28.64
If I have 10 apples and get 7 more...,10 apples + 7 apples = total...,17 apples
"Find the next number in the sequence: [3, 10, 21, 8]","The pattern increases by 7, so the next number is...",47
A car moves at 56 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 56 × 4 =,224 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 442 + 855?,Adding 442 to 855 gives...,1297
What is 442 - 855?,Subtracting 855 from 442 leaves...,-413
What is 442 × 855?,Multiplying 442 by 855 results in...,377910
What is 442 ÷ 855?,Dividing 442 by 855 gives...,0.52
If I have 1 apples and get 1 more...,1 apples + 1 apples = total...,2 apples
"Find the next number in the sequence: [8, 20, 12, 20]","The pattern increases by 12, so the next number is...",22
A car moves at 41 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 41 × 2 =,82 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 137 + 320?,Adding 137 to 320 gives...,457
What is 137 - 320?,Subtracting 320 from 137 leaves...,-183
What is 137 × 320?,Multiplying 137 by 320 results in...,43840
What is 137 ÷ 320?,Dividing 137 by 320 gives...,0.43
If I have 2 apples and get 9 more...,2 apples + 9 apples = total...,11 apples
"Find the next number in the sequence: [1, 2, 6, 32]","The pattern increases by 1, so the next number is...",41
A car moves at 81 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 81 × 2 =,162 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 780 + 499?,Adding 780 to 499 gives...,1279
What is 780 - 499?,Subtracting 499 from 780 leaves...,281
What is 780 × 499?,Multiplying 780 by 499 results in...,389220
What is 780 ÷ 499?,Dividing 780 by 499 gives...,1.56
If I have 4 apples and get 7 more...,4 apples + 7 apples = total...,11 apples
"Find the next number in the sequence: [1, 4, 6, 12]","The pattern increases by 3, so the next number is...",8
A car moves at 69 km/h for 3 hours. How far does it go?,Distance = Speed × Time → 69 × 3 =,207 km
What is the capital of USA?,The capital city of USA is...,Washington D.C.
What is 104 + 35?,Adding 104 to 35 gives...,139
What is 104 - 35?,Subtracting 35 from 104 leaves...,69
What is 104 × 35?,Multiplying 104 by 35 results in...,3640
What is 104 ÷ 35?,Dividing 104 by 35 gives...,2.97
If I have 10 apples and get 1 more...,10 apples + 1 apples = total...,11 apples
"Find the next number in the sequence: [4, 8, 30, 40]","The pattern increases by 4, so the next number is...",9
A car moves at 63 km/h for 1 hours. How far does it go?,Distance = Speed × Time → 63 × 1 =,63 km
What is the capital of France?,The capital city of France is...,Paris
What is 242 + 855?,Adding 242 to 855 gives...,1097
What is 242 - 855?,Subtracting 855 from 242 leaves...,-613
What is 242 × 855?,Multiplying 242 by 855 results in...,206910
What is 242 ÷ 855?,Dividing 242 by 855 gives...,0.28
If I have 5 apples and get 3 more...,5 apples + 3 apples = total...,8 apples
"Find the next number in the sequence: [9, 14, 9, 28]","The pattern increases by 5, so the next number is...",15
A car moves at 61 km/h for 2 hours. How far does it go?,Distance = Speed × Time → 61 × 2 =,122 km
What is the capital of Japan?,The capital city of Japan is...,Tokyo
What is 977 + 347?,Adding 977 to 347 gives...,1324
What is 977 - 347?,Subtracting 347 from 977 leaves...,630
What is 977 × 347?,Multiplying 977 by 347 results in...,339019
What is 977 ÷ 347?,Dividing 977 by 347 gives...,2.82
If I have 3 apples and get 4 more...,3 apples + 4 apples = total...,7 apples
"Find the next number in the sequence: [10, 10, 12, 12]","The pattern increases by 0, so the next number is...",15
A car moves at 76 km/h for 4 hours. How far does it go?,Distance = Speed × Time → 76 × 4 =,304 km
What is the capital of Brazil?,The capital city of Brazil is...,Brasilia
What is 792 + 980?,Adding 792 to 980 gives...,1772
What is 792 - 980?,Subtracting 980 from 792 leaves...,-188
What is 792 × 980?,Multiplying 792 by 980 results in...,776160
What is 792 ÷ 980?,Dividing 792 by 980 gives...,0.81
If I have 11 apples and get 9 more...,11 apples + 9 apples = total...,20 apples
"Find the next number in the sequence: [8, 14, 6, 28]","The pattern increases by 6, so the next number is...",21
